"gsm","donor","cond","celltype","x","y"
"GSM7717090","PWH28","Wound30","Fibroblast",-3.3522596,-1.3970362
"GSM7717086","PWH27","Wound30","Fibroblast",3.1773732,-0.32818067
"GSM7717084","PWH27","Wound1","Fibroblast",-2.9636137,2.3424854
"GSM7717090","PWH28","Wound30","Fibroblast",2.8003,0.011164882
"GSM7717085","PWH27","Wound7","Fibroblast",0.94929147,0.8681529
"GSM7717084","PWH27","Wound1","Fibroblast",-2.0076237,0.44918427
"GSM7717090","PWH28","Wound30","Fibroblast",1.7489535,0.16223635
"GSM7717089","PWH28","Wound7","Fibroblast",-3.6540377,-0.31071854
"GSM7717090","PWH28","Wound30","Fibroblast",-2.3746798,-0.25659552
"GSM7717085","PWH27","Wound7","Fibroblast",-0.9528407,1.394326
"GSM7717079","PWH26","Skin","Fibroblast",-3.8284452,-0.38729244
"GSM7717085","PWH27","Wound7","Fibroblast",-3.7358398,0.06344573
"GSM7717086","PWH27","Wound30","Fibroblast",-1.996583,0.2689777
"GSM7717089","PWH28","Wound7","Fibroblast",-0.73148435,-0.7727661
"GSM7717090","PWH28","Wound30","Fibroblast",2.6303835,0.35739723
"GSM7717082","PWH26","Wound30","Fibroblast",-3.4042675,0.6441117
"GSM7717082","PWH26","Wound30","Fibroblast",2.3610275,-0.07850427
"GSM7717090","PWH28","Wound30","Fibroblast",2.2999976,0.038584936
"GSM7717090","PWH28","Wound30","Fibroblast",2.8646848,0.092794895
"GSM7717090","PWH28","Wound30","Fibroblast",2.8464909,0.32899898
"GSM7717079","PWH26","Skin","Fibroblast",-2.9674683,-1.534503
"GSM7717084","PWH27","Wound1","Fibroblast",-3.805478,2.2474806
"GSM7717087","PWH28","Skin","Fibroblast",-3.063583,1.1410694
"GSM7717084","PWH27","Wound1","Fibroblast",-2.4936523,0.49322435
"GSM7717085","PWH27","Wound7","Fibroblast",-1.4301131,0.43834114
"GSM7717086","PWH27","Wound30","Fibroblast",0.9531452,0.10084763
"GSM7717090","PWH28","Wound30","Fibroblast",0.87217003,1.2548273
"GSM7717085","PWH27","Wound7","Fibroblast",0.49987975,0.43204072
"GSM7717087","PWH28","Skin","Fibroblast",-1.9948086,-2.3754964
"GSM7717085","PWH27","Wound7","Fibroblast",0.41635793,1.4009824
"GSM7717090","PWH28","Wound30","Fibroblast",3.5543303,-0.32024845
"GSM7717088","PWH28","Wound1","Fibroblast",-1.9417926,-1.2685356
"GSM7717090","PWH28","Wound30","Fibroblast",3.0196385,0.038893927
"GSM7717089","PWH28","Wound7","Fibroblast",-0.8428395,1.2758107
"GSM7717084","PWH27","Wound1","Fibroblast",0.5649004,3.7238376
"GSM7717090","PWH28","Wound30","Fibroblast",-2.4229972,-1.8558996
"GSM7717085","PWH27","Wound7","Fibroblast",0.9536614,14.099312
"GSM7717083","PWH27","Skin","Fibroblast",-2.0768185,-1.8950006
"GSM7717085","PWH27","Wound7","Fibroblast",-3.178693,0.4133157
"GSM7717084","PWH27","Wound1","Fibroblast",-3.2643924,-0.026072336
"GSM7717085","PWH27","Wound7","Fibroblast",4.4792356,-0.5969363
"GSM7717089","PWH28","Wound7","Fibroblast",2.4351304,-0.2810342
"GSM7717086","PWH27","Wound30","Fibroblast",1.4500896,0.21806836
"GSM7717090","PWH28","Wound30","Fibroblast",2.9840448,0.18033911
"GSM7717090","PWH28","Wound30","Fibroblast",2.9140778,0.027549332
"GSM7717086","PWH27","Wound30","Fibroblast",2.9888844,-0.2457446
"GSM7717086","PWH27","Wound30","Fibroblast",0.21462804,-0.28732416
"GSM7717083","PWH27","Skin","Fibroblast",-2.3852134,-1.5570614
"GSM7717090","PWH28","Wound30","Fibroblast",2.7002676,-0.19665757
"GSM7717086","PWH27","Wound30","Fibroblast",2.364978,-0.018737063
"GSM7717089","PWH28","Wound7","Fibroblast",-0.81157357,0.887338
"GSM7717086","PWH27","Wound30","Fibroblast",1.8279992,-0.16783649
"GSM7717086","PWH27","Wound30","Fibroblast",2.8947222,-0.3888387
"GSM7717082","PWH26","Wound30","Fibroblast",3.843746,0.065753214
"GSM7717090","PWH28","Wound30","Fibroblast",2.9167023,0.2968205
"GSM7717089","PWH28","Wound7","Fibroblast",0.26610413,-1.1620013
"GSM7717089","PWH28","Wound7","Fibroblast",-1.3128093,1.1987236
"GSM7717089","PWH28","Wound7","Fibroblast",0.3240651,-0.45695478
"GSM7717081","PWH26","Wound7","Fibroblast",0.63448495,0.84108174
"GSM7717083","PWH27","Skin","Fibroblast",0.9133665,0.32698104
"GSM7717086","PWH27","Wound30","Fibroblast",2.880149,-0.07081316
"GSM7717090","PWH28","Wound30","Fibroblast",2.9398742,-0.09454221
"GSM7717082","PWH26","Wound30","Fibroblast",2.7457736,0.37122992
"GSM7717086","PWH27","Wound30","Fibroblast",1.3587825,0.22594221
"GSM7717085","PWH27","Wound7","Fibroblast",1.0621074,0.53498703
"GSM7717082","PWH26","Wound30","Fibroblast",3.178516,-0.3182936
"GSM7717079","PWH26","Skin","Fibroblast",-2.3098123,0.14166544
"GSM7717086","PWH27","Wound30","Fibroblast",2.0787349,-0.13003245
"GSM7717085","PWH27","Wound7","Fibroblast",2.3120227,8.604807
"GSM7717081","PWH26","Wound7","Fibroblast",1.0812279,0.933636
"GSM7717088","PWH28","Wound1","Fibroblast",-2.791299,-0.75083816
"GSM7717089","PWH28","Wound7","Fibroblast",0.42427832,1.0710834
"GSM7717085","PWH27","Wound7","Fibroblast",0.55118567,-0.049671296
"GSM7717086","PWH27","Wound30","Fibroblast",0.013798025,-0.5081209
"GSM7717090","PWH28","Wound30","Fibroblast",-1.5849338,0.32621974
"GSM7717086","PWH27","Wound30","Fibroblast",0.17741926,0.051461592
"GSM7717084","PWH27","Wound1","Fibroblast",0.04422903,2.984667
"GSM7717081","PWH26","Wound7","Fibroblast",-3.2033513,-0.4843832
"GSM7717089","PWH28","Wound7","Fibroblast",0.08719516,1.2397684
"GSM7717090","PWH28","Wound30","Fibroblast",3.2180827,0.30217916
"GSM7717087","PWH28","Skin","Fibroblast",-3.9501643,-0.5848961
"GSM7717086","PWH27","Wound30","Fibroblast",1.1324108,-0.012255563
"GSM7717090","PWH28","Wound30","Fibroblast",3.0711005,0.07188602
"GSM7717079","PWH26","Skin","Fibroblast",-3.658044,-0.24326389
"GSM7717090","PWH28","Wound30","Fibroblast",2.7895062,0.07204604
"GSM7717084","PWH27","Wound1","Fibroblast",-1.4841615,0.92393017
"GSM7717085","PWH27","Wound7","Fibroblast",0.0075824633,1.1192839
"GSM7717086","PWH27","Wound30","Fibroblast",-1.9781666,-0.00093110965
"GSM7717084","PWH27","Wound1","Fibroblast",-3.4575274,4.8815594
"GSM7717082","PWH26","Wound30","Fibroblast",3.3773408,-0.012950373
"GSM7717090","PWH28","Wound30","Fibroblast",3.1391711,0.1950012
"GSM7717079","PWH26","Skin","Fibroblast",-2.2155936,0.9415777
"GSM7717090","PWH28","Wound30","Fibroblast",3.1122582,0.2851946
"GSM7717089","PWH28","Wound7","Fibroblast",0.57554877,2.134213
"GSM7717090","PWH28","Wound30","Fibroblast",2.2147534,-0.06497532
"GSM7717087","PWH28","Skin","Fibroblast",-4.0352025,-1.692247
"GSM7717085","PWH27","Wound7","Fibroblast",1.3703393,0.118460104
"GSM7717079","PWH26","Skin","Fibroblast",-2.7434883,-1.3187281
"GSM7717090","PWH28","Wound30","Fibroblast",2.760305,0.72878575
"GSM7717081","PWH26","Wound7","Fibroblast",0.06931525,0.24973777
"GSM7717085","PWH27","Wound7","Fibroblast",0.91043997,1.0699947
"GSM7717084","PWH27","Wound1","Fibroblast",-1.961054,2.3770466
"GSM7717089","PWH28","Wound7","Fibroblast",-0.6405857,-0.18341275
"GSM7717083","PWH27","Skin","Fibroblast",-4.0430856,1.0635437
"GSM7717082","PWH26","Wound30","Fibroblast",0.0235893,0.52074707
"GSM7717090","PWH28","Wound30","Fibroblast",-0.13826123,-1.7355486
"GSM7717082","PWH26","Wound30","Fibroblast",2.6854916,-0.010366817
"GSM7717090","PWH28","Wound30","Fibroblast",2.321743,0.28954273
"GSM7717090","PWH28","Wound30","Fibroblast",1.9533072,0.6105859
"GSM7717083","PWH27","Skin","Fibroblast",-2.1141267,0.28359678
"GSM7717079","PWH26","Skin","Fibroblast",-3.50698,1.2987891
"GSM7717088","PWH28","Wound1","Fibroblast",-2.9745927,0.5407853
"GSM7717089","PWH28","Wound7","Fibroblast",-0.2898946,0.2145344
"GSM7717085","PWH27","Wound7","Fibroblast",0.46417162,0.7843971
"GSM7717090","PWH28","Wound30","Fibroblast",2.5893629,-0.024193084
"GSM7717090","PWH28","Wound30","Fibroblast",-1.7001141,-0.0032098081
"GSM7717086","PWH27","Wound30","Fibroblast",0.319027,-2.1288085
"GSM7717085","PWH27","Wound7","Fibroblast",0.44675207,-0.20727567
"GSM7717086","PWH27","Wound30","Fibroblast",-1.8895043,0.33519086
"GSM7717086","PWH27","Wound30","Fibroblast",0.9841772,0.11878574
"GSM7717081","PWH26","Wound7","Fibroblast",1.0834165,0.25886014
"GSM7717079","PWH26","Skin","Fibroblast",-3.8367484,2.6546056
"GSM7717089","PWH28","Wound7","Fibroblast",-0.3188606,-1.37966
"GSM7717081","PWH26","Wound7","Fibroblast",1.7982663,0.95292675
"GSM7717087","PWH28","Skin","Fibroblast",-3.888422,-1.8242083
"GSM7717089","PWH28","Wound7","Fibroblast",0.00969444,-1.2157949
"GSM7717083","PWH27","Skin","Fibroblast",-2.1007118,-1.81238
"GSM7717085","PWH27","Wound7","Fibroblast",-1.204134,0.6768819
"GSM7717081","PWH26","Wound7","Fibroblast",2.5063796,-0.3377985
"GSM7717086","PWH27","Wound30","Fibroblast",3.441852,-0.040016446
"GSM7717084","PWH27","Wound1","Fibroblast",0.79574096,-0.4862807
"GSM7717081","PWH26","Wound7","Fibroblast",1.277933,-0.17840548
"GSM7717080","PWH26","Wound1","Fibroblast",-2.1803153,2.0000231
"GSM7717082","PWH26","Wound30","Fibroblast",0.13807632,-1.9760647
"GSM7717082","PWH26","Wound30","Fibroblast",-3.3766727,0.78624666
"GSM7717089","PWH28","Wound7","Fibroblast",3.2905533,-0.0656437
"GSM7717090","PWH28","Wound30","Fibroblast",3.4135392,-0.15426959
