"donor","cond","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Donor A","1","MMP3",255,0.260123490536524,0.12156862745098,1.51406674406303,1
"Donor A","1","IL6",255,1.08061616937928,0.658823529411765,1.90782191405114,0.977827478966106
"Donor A","1","CXCL12",255,1.43703418124075,0.835294117647059,1.80912934291123,0.576684536572227
"Donor A","1","ACTA2",255,0.0535031678246148,0.117647058823529,0.0612276652052355,0
"Donor A","30","COL1A1",843,5.34885105015508,1,6.04882665709711,0.962282967230952
"Donor A","30","COL3A1",843,4.91241324826435,0.997627520759193,5.56270362110375,0.966804906351682
"Donor A","30","DCN",843,4.07338082726586,1,4.20702496491605,0.739300703623647
"Donor A","30","LUM",843,3.4823970831564,0.994068801897983,3.88489277772555,0.866413981885576
"Donor A","30","TIMP1",843,2.45052456824908,0.997627520759193,2.769632067671,0.484385457428252
"Donor A","30","CHI3L1",843,0.00784736061673402,0.0142348754448399,0.0125391083142646,0.224018616369736
"Donor A","30","FN1",843,2.76824469099166,0.977461447212337,3.58111074026886,0.886560141570926
"Donor A","30","MMP1",843,0.0576651174271137,0.0688018979833926,0.1686485055269,0.0748234467471163
"Donor A","30","MMP3",843,0.0384583575406853,0.062870699881376,0.0890642759335334,0.0581785213385482
"Donor A","30","IL6",843,0.252124653722337,0.205219454329775,0.517402138514339,0.0107130031811962
"Donor A","30","CXCL12",843,1.15996658132915,0.849347568208778,1.47852312397068,0.367475725963855
"Donor A","30","ACTA2",843,0.144111542010309,0.2858837485172,0.34680448762361,0.244492399779178
"Donor A","7","COL1A1",920,4.46300706062335,0.995652173913044,5.07970788454765,0.700038650429878
"Donor A","7","COL3A1",920,3.8537515872961,0.992391304347826,4.47235632116812,0.670197644664273
"Donor A","7","DCN",920,3.33430273166102,0.993478260869565,3.43370864934857,0.0696725876107052
"Donor A","7","LUM",920,2.73816841237944,0.975,3.31224314666849,0.674143069490107
"Donor A","7","TIMP1",920,2.53974512905972,0.992391304347826,2.85913790836721,0.526911417774194
