holdout,source,anchor,alpha,donor,seed,method,source_cells,target_cells,energy_distance,baseline_distance,improvement
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,2,Centroid translation,260,909,0.6066061656212467,1.0748339372242013,0.43562801227896675
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,2,Independent bridge,260,909,0.9364014742042981,1.0748339372242013,0.128794279958642
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,2,Shared flow,260,909,0.6868263181613647,1.0748339372242013,0.36099308518754136
Wound1,Skin,Wound7,0.5,PWH26,0,Unchanged source,724,255,1.1341395830364265,1.1341395830364265,0.0
Wound1,Skin,Wound7,0.5,PWH26,0,Centroid translation,724,255,0.8703744657884611,1.1341395830364265,0.23256847851283724
Wound1,Skin,Wound7,0.5,PWH26,0,Independent bridge,724,255,1.047141090063806,1.1341395830364265,0.07670880575360906
Wound1,Skin,Wound7,0.5,PWH26,0,Shared flow,724,255,0.7369649731326682,1.1341395830364265,0.3501990547234095
Wound1,Skin,Wound7,0.5,PWH27,0,Unchanged source,521,497,1.5517124269806004,1.5517124269806004,0.0
Wound1,Skin,Wound7,0.5,PWH27,0,Centroid translation,521,497,1.0899749088091717,1.5517124269806004,0.29756642412789114
Wound1,Skin,Wound7,0.5,PWH27,0,Independent bridge,521,497,1.322470622210953,1.5517124269806004,0.14773472248058073
Wound1,Skin,Wound7,0.5,PWH27,0,Shared flow,521,497,1.2486062751228904,1.5517124269806004,0.19533654985770088
Wound1,Skin,Wound7,0.5,PWH28,0,Unchanged source,907,260,1.3521989295766526,1.3521989295766526,0.0
Wound1,Skin,Wound7,0.5,PWH28,0,Centroid translation,907,260,0.8274688378512627,1.3521989295766526,0.3880568755439503
Wound1,Skin,Wound7,0.5,PWH28,0,Independent bridge,907,260,0.9323773854575155,1.3521989295766526,0.3104732114013543
Wound1,Skin,Wound7,0.5,PWH28,0,Shared flow,907,260,0.8597244559345354,1.3521989295766526,0.36420267970209197
Wound1,Skin,Wound7,0.5,PWH26,1,Unchanged source,724,255,1.1341395830364265,1.1341395830364265,0.0
Wound1,Skin,Wound7,0.5,PWH26,1,Centroid translation,724,255,0.8703744657884611,1.1341395830364265,0.23256847851283724
Wound1,Skin,Wound7,0.5,PWH26,1,Independent bridge,724,255,1.0270806864420337,1.1341395830364265,0.09439657886533204
Wound1,Skin,Wound7,0.5,PWH26,1,Shared flow,724,255,0.8900971976682142,1.1341395830364265,0.21517843924893165
Wound1,Skin,Wound7,0.5,PWH27,1,Unchanged source,521,497,1.5517124269806004,1.5517124269806004,0.0
Wound1,Skin,Wound7,0.5,PWH27,1,Centroid translation,521,497,1.0899749088091717,1.5517124269806004,0.29756642412789114
Wound1,Skin,Wound7,0.5,PWH27,1,Independent bridge,521,497,1.3232291184790057,1.5517124269806004,0.14724591008540733
Wound1,Skin,Wound7,0.5,PWH27,1,Shared flow,521,497,1.375379674937908,1.5517124269806004,0.11363752005634808
Wound1,Skin,Wound7,0.5,PWH28,1,Unchanged source,907,260,1.3521989295766526,1.3521989295766526,0.0
Wound1,Skin,Wound7,0.5,PWH28,1,Centroid translation,907,260,0.8274688378512627,1.3521989295766526,0.3880568755439503
Wound1,Skin,Wound7,0.5,PWH28,1,Independent bridge,907,260,0.9258307853231873,1.3521989295766526,0.31531465890669863
Wound1,Skin,Wound7,0.5,PWH28,1,Shared flow,907,260,1.0341067800321362,1.3521989295766526,0.23524064587457183
Wound1,Skin,Wound7,0.5,PWH26,2,Unchanged source,724,255,1.1341395830364265,1.1341395830364265,0.0
Wound1,Skin,Wound7,0.5,PWH26,2,Centroid translation,724,255,0.8703744657884611,1.1341395830364265,0.23256847851283724
Wound1,Skin,Wound7,0.5,PWH26,2,Independent bridge,724,255,1.0192112818799508,1.1341395830364265,0.10133523498825314
Wound1,Skin,Wound7,0.5,PWH26,2,Shared flow,724,255,0.8960272429088585,1.1341395830364265,0.20994976605090443
Wound1,Skin,Wound7,0.5,PWH27,2,Unchanged source,521,497,1.5517124269806004,1.5517124269806004,0.0
Wound1,Skin,Wound7,0.5,PWH27,2,Centroid translation,521,497,1.0899749088091717,1.5517124269806004,0.29756642412789114
Wound1,Skin,Wound7,0.5,PWH27,2,Independent bridge,521,497,1.3131600676248363,1.5517124269806004,0.1537349029420041
Wound1,Skin,Wound7,0.5,PWH27,2,Shared flow,521,497,1.4146468577879316,1.5517124269806004,0.08833181123604061
Wound1,Skin,Wound7,0.5,PWH28,2,Unchanged source,907,260,1.3521989295766526,1.3521989295766526,0.0
Wound1,Skin,Wound7,0.5,PWH28,2,Centroid translation,907,260,0.8274688378512627,1.3521989295766526,0.3880568755439503
Wound1,Skin,Wound7,0.5,PWH28,2,Independent bridge,907,260,0.952487458729987,1.3521989295766526,0.29560108509463734
