donor,cond,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
PWH27,Skin,IL6,521,1.1402422647737265,0.6314779270633397,1.9016936686356145
PWH27,Skin,CXCL12,521,1.6634389441342796,0.7965451055662188,2.31491721355536
PWH27,Skin,ACTA2,521,0.13310481210363653,0.23224568138195778,0.24647732448646012
PWH27,Wound1,COL1A1,497,2.941588226299985,0.971830985915493,3.436859055906592
PWH27,Wound1,COL3A1,497,2.269139889384086,0.89738430583501,2.7812696737959905
PWH27,Wound1,DCN,497,3.5522648658733296,0.9919517102615694,3.8565050577070394
PWH27,Wound1,LUM,497,1.299332864272658,0.8430583501006036,1.5549346611775472
PWH27,Wound1,TIMP1,497,2.9386007365593136,0.993963782696177,3.586587980355638
PWH27,Wound1,CHI3L1,497,0.0,0.0,0.0
PWH27,Wound1,FN1,497,1.1085477540340116,0.8269617706237424,1.2771310981392678
PWH27,Wound1,MMP1,497,0.6610573294921847,0.30784708249496984,2.1776798621051165
PWH27,Wound1,MMP3,497,0.2793902111880498,0.18108651911468812,1.3016616658534277
PWH27,Wound1,IL6,497,1.2111472040619826,0.6861167002012073,1.9396993313486262
PWH27,Wound1,CXCL12,497,1.2944966753143656,0.8289738430583501,1.6377848714460779
PWH27,Wound1,ACTA2,497,0.10903712743588378,0.19114688128772636,0.1579385920376645
PWH27,Wound30,COL1A1,2096,5.87056609998814,1.0,6.134296453821151
PWH27,Wound30,COL3A1,2096,5.370649754097268,1.0,5.6474643176418455
PWH27,Wound30,DCN,2096,3.9980121132707773,0.9985687022900763,4.112088049100074
PWH27,Wound30,LUM,2096,4.067865626533123,0.9990458015267175,4.282758388464754
PWH27,Wound30,TIMP1,2096,2.5062771389508063,0.9966603053435115,2.750383120677482
PWH27,Wound30,CHI3L1,2096,0.013940700735736137,0.013358778625954198,0.028104252981068445
PWH27,Wound30,FN1,2096,3.095405513451947,0.9923664122137404,3.571434398346731
PWH27,Wound30,MMP1,2096,0.048505030813928283,0.05677480916030534,0.1268256989592701
PWH27,Wound30,MMP3,2096,0.03325946627811099,0.061068702290076333,0.06008419409752443
PWH27,Wound30,IL6,2096,0.22316985856334515,0.16698473282442747,0.5860594364117958
